Index,Time[s],Ch0[V],Ch1[V],
0,0,-0.051715531386435,-0.609550100052729,
1,0.05,-0.0362559128552675,-0.606973496964201,
2,0.1,-0.0375442143995315,-0.609550100052729,
3,0.15,-0.0375442143995315,-0.606973496964201,
4,0.2,-0.0362559128552675,-0.608261798508465,
5,0.25,-0.0362559128552675,-0.606973496964201,
6,0.3,-0.0362559128552675,-0.609550100052729,
7,0.35,-0.0375442143995315,-0.605685195419937,
8,0.4,-0.0362559128552675,-0.608261798508465,
9,0.45,-0.0362559128552675,-0.605685195419937,
10,0.5,-0.0375442143995315,-0.609550100052729,
11,0.55,-0.0362559128552675,-0.606973496964201,
12,0.6,-0.0375442143995315,-0.609550100052729,
13,0.65,-0.0362559128552675,-0.606973496964201,
14,0.7,-0.0375442143995315,-0.609550100052729,
15,0.75,-0.0362559128552675,-0.606973496964201,
16,0.8,-0.0375442143995315,-0.609550100052729,
17,0.85,-0.0362559128552675,-0.605685195419937,
18,0.9,-0.0362559128552675,-0.609550100052729,
19,0.95,-0.0362559128552675,-0.606973496964201,
20,1,-0.0362559128552675,-0.609550100052729,
21,1.05,-0.0362559128552675,-0.605685195419937,
22,1.1,-0.0362559128552675,-0.609550100052729,
23,1.15,-0.0362559128552675,-0.605685195419937,
24,1.2,-0.0362559128552675,-0.609550100052729,
25,1.25,-0.0362559128552675,-0.605685195419937,
26,1.3,-0.0362559128552675,-0.609550100052729,
27,1.35,-0.0362559128552675,-0.605685195419937,
28,1.4,-0.0362559128552675,-0.610838401596993,
29,1.45,-0.0362559128552675,-0.605685195419937,
30,1.5,-0.0362559128552675,-0.609550100052729,
31,1.55,-0.0362559128552675,-0.605685195419937,
32,1.6,-0.0362559128552675,-0.610838401596993,
33,1.65,-0.0362559128552675,-0.605685195419937,
34,1.7,-0.0362559128552675,-0.609550100052729,
35,1.75,-0.0375442143995315,-0.605685195419937,
36,1.8,-0.0375442143995315,-0.609550100052729,
37,1.85,-0.0362559128552675,-0.605685195419937,
38,1.9,-0.0375442143995315,-0.609550100052729,
39,1.95,-0.0362559128552675,-0.605685195419937,
40,2,-0.0362559128552675,-0.610838401596993,
41,2.05,-0.0362559128552675,-0.605685195419937,
42,2.1,-0.0362559128552675,-0.609550100052729,
