Record Length,2500,Points,-49.99999702E-3,-16.8000011,,Record Length,2500,Points,-49.99999702E-3,-2.0799999,
Sample Interval,39.99999899E-6,s,-49.95999858E-3,-16.0000000,,Sample Interval,39.99999899E-6,s,-49.95999858E-3,-2.0000000,
Trigger Point,1.2500000E3,Samples,-49.91999641E-3,-15.1999998,,Trigger Point,1.2500000E3,Samples,-49.91999641E-3,-2.0000000,
,,,-49.87999797E-3,-14.4000006,,,,,-49.87999797E-3,-2.0000000,
,,,-49.83999580E-3,-14.4000006,,,,,-49.83999580E-3,-1.9200000,
,,,-49.79999736E-3,-13.6000004,,,,,-49.79999736E-3,-1.9200000,
Source,CH1,,-49.75999519E-3,-12.8000002,,Source,CH2,,-49.75999519E-3,-1.9200000,
Vertical Units,Volts,,-49.71999675E-3,-12.8000002,,Vertical Units,Volts,,-49.71999675E-3,-1.8399999,
Vertical Scale,20.0000003,,-49.67999831E-3,-12.0000000,,Vertical Scale,2.0000000,,-49.67999831E-3,-1.8399999,
Vertical Offset,0,,-49.63999614E-3,-11.1999998,,Vertical Offset,0,,-49.63999614E-3,-1.7600000,
Horizontal Units,s,,-49.59999770E-3,-10.4000006,,Horizontal Units,s,,-49.59999770E-3,-1.8399999,
Horizontal Scale,9.999999747E-3,,-49.55999553E-3,-10.4000006,,Horizontal Scale,9.999999747E-3,,-49.55999553E-3,-1.8399999,
Pt Fmt,Y,,-49.51999709E-3,-9.600000381,,Pt Fmt,Y,,-49.51999709E-3,-1.8399999,
Yzero,0.0,,-49.47999865E-3,-8.800000191,,Yzero,0.0,,-49.47999865E-3,-1.7600000,
Probe Atten,10.0000000,,-49.43999648E-3,-8.000000000,,Probe Atten,10.0000000,,-49.43999648E-3,-1.7600000,
,,,-49.39999804E-3,-8.000000000,,,,,-49.39999804E-3,-1.7600000,
Note,TBS 1052B-EDU - 17:27:42   27/11/2024,,-49.35999587E-3,-7.20000029,,Note,TBS 1052B-EDU - 17:27:42   27/11/2024,,-49.35999587E-3,-1.6799999,
,,,-49.31999743E-3,-6.40000010,,,,,-49.31999743E-3,-1.5999999,
,,,-49.27999526E-3,-5.59999990,,,,,-49.27999526E-3,-1.6799999,
,,,-49.23999682E-3,-5.59999990,,,,,-49.23999682E-3,-1.5999999,
,,,-49.19999838E-3,-4.80000019,,,,,-49.19999838E-3,-1.6799999,
,,,-49.15999621E-3,-4.00000000,,,,,-49.15999621E-3,-1.5200000,
,,,-49.11999777E-3,-4.00000000,,,,,-49.11999777E-3,-1.4399999,
,,,-49.07999560E-3,-3.20000005,,,,,-49.07999560E-3,-1.4399999,
,,,-49.03999716E-3,-2.4000001,,,,,-49.03999716E-3,-1.3600000,
,,,-48.99999872E-3,-1.6000000,,,,,-48.99999872E-3,-1.2800000,
,,,-48.95999655E-3,-1.6000000,,,,,-48.95999655E-3,-1.3600000,
,,,-48.91999811E-3,-800.000011921E-3,,,,,-48.91999811E-3,-1.2800000,
,,,-48.87999594E-3,0.0,,,,,-48.87999594E-3,-1.1999999,
,,,-48.83999750E-3,0.0,,,,,-48.83999750E-3,-1.1999999,
,,,-48.79999533E-3,800.000011921E-3,,,,,-48.79999533E-3,-1.1999999,
,,,-48.75999689E-3,1.6000000,,,,,-48.75999689E-3,-1.1200000,
,,,-48.71999845E-3,1.6000000,,,,,-48.71999845E-3,-1.1200000,
,,,-48.67999628E-3,2.4000001,,,,,-48.67999628E-3,-1.0400000,
,,,-48.63999784E-3,2.4000001,,,,,-48.63999784E-3,-1.0400000,
,,,-48.59999567E-3,2.4000001,,,,,-48.59999567E-3,-959.999978542E-3,
,,,-48.55999723E-3,3.20000005,,,,,-48.55999723E-3,-879.999995232E-3,
,,,-48.51999879E-3,4.00000000,,,,,-48.51999879E-3,-879.999995232E-3,
,,,-48.47999662E-3,4.00000000,,,,,-48.47999662E-3,-799.999952316E-3,
,,,-48.43999818E-3,4.80000019,,,,,-48.43999818E-3,-799.999952316E-3,
,,,-48.39999601E-3,5.59999990,,,,,-48.39999601E-3,-719.999969006E-3,
,,,-48.35999757E-3,5.59999990,,,,,-48.35999757E-3,-719.999969006E-3,
,,,-48.31999540E-3,5.59999990,,,,,-48.31999540E-3,-560.000002384E-3,
,,,-48.27999696E-3,6.40000010,,,,,-48.27999696E-3,-560.000002384E-3,
,,,-48.23999852E-3,6.40000010,,,,,-48.23999852E-3,-479.999989271E-3,
,,,-48.19999635E-3,6.40000010,,,,,-48.19999635E-3,-399.99997616E-3,
,,,-48.15999791E-3,7.20000029,,,,,-48.15999791E-3,-399.99997616E-3,
,,,-48.11999574E-3,8.000000000,,,,,-48.11999574E-3,-319.99999285E-3,
,,,-48.07999730E-3,8.000000000,,,,,-48.07999730E-3,-239.99999464E-3,
,,,-48.03999886E-3,8.000000000,,,,,-48.03999886E-3,-159.99999642E-3,
,,,-47.99999669E-3,8.000000000,,,,,-47.99999669E-3,-79.999998212E-3,
,,,-47.95999825E-3,8.800000191,,,,,-47.95999825E-3,0.0,
,,,-47.91999608E-3,8.800000191,,,,,-47.91999608E-3,79.999998212E-3,
,,,-47.87999764E-3,9.600000381,,,,,-47.87999764E-3,79.999998212E-3,
,,,-47.83999547E-3,9.600000381,,,,,-47.83999547E-3,159.99999642E-3,
,,,-47.79999703E-3,9.600000381,,,,,-47.79999703E-3,239.99999464E-3,
,,,-47.75999859E-3,10.4000006,,,,,-47.75999859E-3,319.99999285E-3,
,,,-47.71999642E-3,10.4000006,,,,,-47.71999642E-3,319.99999285E-3,
,,,-47.67999798E-3,11.1999998,,,,,-47.67999798E-3,399.99997616E-3,
,,,-47.63999581E-3,11.1999998,,,,,-47.63999581E-3,479.999989271E-3,
,,,-47.59999737E-3,11.1999998,,,,,-47.59999737E-3,560.000002384E-3,
,,,-47.55999893E-3,12.0000000,,,,,-47.55999893E-3,639.999985695E-3,
,,,-47.51999676E-3,12.0000000,,,,,-47.51999676E-3,639.999985695E-3,
,,,-47.47999832E-3,12.8000002,,,,,-47.47999832E-3,719.999969006E-3,
,,,-47.43999615E-3,12.8000002,,,,,-47.43999615E-3,799.999952316E-3,
,,,-47.39999771E-3,12.8000002,,,,,-47.39999771E-3,879.999995232E-3,
,,,-47.35999554E-3,14.4000006,,,,,-47.35999554E-3,959.999978542E-3,
,,,-47.31999710E-3,14.4000006,,,,,-47.31999710E-3,1.0400000,
,,,-47.27999866E-3,14.4000006,,,,,-47.27999866E-3,1.1200000,
,,,-47.23999649E-3,15.1999998,,,,,-47.23999649E-3,1.1200000,
,,,-47.19999805E-3,15.1999998,,,,,-47.19999805E-3,1.1999999,
,,,-47.15999588E-3,16.0000000,,,,,-47.15999588E-3,1.2800000,
,,,-47.11999744E-3,16.0000000,,,,,-47.11999744E-3,1.3600000,
,,,-47.07999527E-3,16.0000000,,,,,-47.07999527E-3,1.3600000,
,,,-47.03999683E-3,16.8000011,,,,,-47.03999683E-3,1.5200000,
,,,-46.99999839E-3,16.8000011,,,,,-46.99999839E-3,1.5200000,
,,,-46.95999622E-3,17.6000004,,,,,-46.95999622E-3,1.5999999,
,,,-46.91999778E-3,17.6000004,,,,,-46.91999778E-3,1.6799999,
,,,-46.87999561E-3,18.3999996,,,,,-46.87999561E-3,1.7600000,
,,,-46.83999717E-3,18.3999996,,,,,-46.83999717E-3,1.7600000,
,,,-46.79999873E-3,19.2000008,,,,,-46.79999873E-3,1.8399999,
,,,-46.75999656E-3,20.0000000,,,,,-46.75999656E-3,1.8399999,
,,,-46.71999812E-3,20.80000114,,,,,-46.71999812E-3,1.9200000,
,,,-46.67999595E-3,20.80000114,,,,,-46.67999595E-3,1.9200000,
,,,-46.63999751E-3,21.60000038,,,,,-46.63999751E-3,1.9200000,
,,,-46.59999534E-3,22.39999962,,,,,-46.59999534E-3,2.0799999,
,,,-46.55999690E-3,23.20000076,,,,,-46.55999690E-3,2.0799999,
,,,-46.51999846E-3,23.20000076,,,,,-46.51999846E-3,2.0799999,
,,,-46.47999629E-3,24.00000000,,,,,-46.47999629E-3,2.1599998,
,,,-46.43999785E-3,25.60000038,,,,,-46.43999785E-3,2.1599998,
,,,-46.39999568E-3,25.60000038,,,,,-46.39999568E-3,2.1599998,
,,,-46.35999724E-3,26.39999962,,,,,-46.35999724E-3,2.1599998,
,,,-46.31999880E-3,27.20000076,,,,,-46.31999880E-3,2.2400000,
,,,-46.27999663E-3,28.00000000,,,,,-46.27999663E-3,2.2400000,
,,,-46.23999819E-3,28.00000000,,,,,-46.23999819E-3,2.2400000,
,,,-46.19999602E-3,28.80000114,,,,,-46.19999602E-3,2.2400000,
,,,-46.15999758E-3,29.60000038,,,,,-46.15999758E-3,2.3199999,
,,,-46.11999542E-3,30.39999962,,,,,-46.11999542E-3,2.3199999,
,,,-46.07999697E-3,31.20000076,,,,,-46.07999697E-3,2.3199999,
,,,-46.03999853E-3,32.00000000,,,,,-46.03999853E-3,2.3199999,
