,,,ch1_t,ch1_v,,,,,ch2_t,ch2_v
Record Length,2500,Points,-2.46E-01,-50,,Record Length,2500,Points,-2.46E-01,-20
Sample Interval,2.00E-04,s,-2.46E-01,-50,,Sample Interval,2.00E-04,s,-2.46E-01,-20
Trigger Point,1.23E+03,Samples,-2.46E-01,-50,,Trigger Point,1.23E+03,Samples,-2.46E-01,-20
,,,-2.45E-01,-48,,,,,-2.45E-01,-20
,,,-2.45E-01,-48,,,,,-2.45E-01,-20
,,,-2.45E-01,-48,,,,,-2.45E-01,-19.2000008
Source,CH1,,-2.45E-01,-46,,Source,CH2,,-2.45E-01,-19.2000008
Vertical Units,Volts,,-2.45E-01,-44,,Vertical Units,Volts,,-2.45E-01,-19.2000008
Vertical Scale,50,,-2.44E-01,-42,,Vertical Scale,20.0000003,,-2.44E-01,-18.3999996
Vertical Offset,0,,-2.44E-01,-42,,Vertical Offset,0,,-2.44E-01,-18.3999996
Horizontal Units,s,,-2.44E-01,-40,,Horizontal Units,s,,-2.44E-01,-18.3999996
Horizontal Scale,5.00E-02,,-2.44E-01,-36,,Horizontal Scale,5.00E-02,,-2.44E-01,-17.6000004
Pt Fmt,Y,,-2.44E-01,-34,,Pt Fmt,Y,,-2.44E-01,-17.6000004
Yzero,-8.00E-02,,-2.43E-01,-30,,Yzero,4.00E-02,,-2.43E-01,-16.8000011
Probe Atten,10,,-2.43E-01,-28,,Probe Atten,10,,-2.43E-01,-16.8000011
,,,-2.43E-01,-26,,,,,-2.43E-01,-16
Note,TBS 1052B-EDU - 18:21:04   06/11/2024,,-2.43E-01,-22,,Note,TBS 1052B-EDU - 18:21:04   06/11/2024,,-2.43E-01,-16
,,,-2.43E-01,-18,,,,,-2.43E-01,-15.1999998
,,,-2.42E-01,-16,,,,,-2.42E-01,-15.1999998
,,,-2.42E-01,-12,,,,,-2.42E-01,-14.4000006
,,,-2.42E-01,-8,,,,,-2.42E-01,-13.6000004
,,,-2.42E-01,-6,,,,,-2.42E-01,-13.6000004
,,,-2.42E-01,-2,,,,,-2.42E-01,-12.8000002
,,,-2.41E-01,2,,,,,-2.41E-01,-12
,,,-2.41E-01,4,,,,,-2.41E-01,-11.1999998
,,,-2.41E-01,6,,,,,-2.41E-01,-9.600000381
,,,-2.41E-01,8,,,,,-2.41E-01,-8.800000191
,,,-2.41E-01,12,,,,,-2.41E-01,-7.20000029
,,,-2.40E-01,14,,,,,-2.40E-01,-5.5999999
,,,-2.40E-01,16,,,,,-2.40E-01,-4.80000019
,,,-2.40E-01,18,,,,,-2.40E-01,-2.4000001
,,,-2.40E-01,20,,,,,-2.40E-01,-8.00E-01
,,,-2.40E-01,22,,,,,-2.40E-01,8.00E-01
,,,-2.39E-01,24,,,,,-2.39E-01,3.20000005
