file name,v,F (N),Lamda (wave length nm),Num of Isochromes,error,R (cm),d (cm),F/R,F/lambda,
disc1_-0.375_blue,-0.375,705.37,460,9,1,3.75,0.9,188.0986667,1.533413043,
disc1_-0.527_blue,-0.527,925.77,460,9,1,3.75,0.9,246.872,2.012543478,
disc1_-0.714_blue,-0.714,1196.92,460,11,1,3.75,0.9,319.1786667,2.602,
disc1_-0.844_blue,-0.844,1385.42,460,11,2,3.75,0.9,369.4453333,3.011782609,
disc1_-0.997_blue,-0.997,1607.27,460,12,2,3.75,0.9,428.6053333,3.494065217,
disc2_-0.334_blue,-0.334,645.92,460,10,1,6.25,0.9,103.3472,1.404173913,
disc2_-0.480_blue,-0.480,857.62,460,11,1,6.25,0.9,137.2192,1.864391304,
disc2_-0.615_blue,-0.615,1053.37,460,12,1,6.25,0.9,168.5392,2.289934783,
disc2_-0.719_blue,-0.719,1204.17,460,12,2,6.25,0.9,192.6672,2.61776087,
disc2_-0.920_blue,-0.920,1495.62,460,13,2,6.25,0.9,239.2992,3.251347826,
disc3_-0.352_blue,-0.352,672.02,460,8,1,5,0.5,134.404,1.460913043,
disc3_-0.443_blue,-0.443,803.97,460,9,2,5,0.5,160.794,1.74776087,
disc3_-0.562_blue,-0.562,976.52,460,10,1,5,0.5,195.304,2.122869565,
disc3_-0.708_blue,-0.708,1188.22,460,11,2,5,0.5,237.644,2.583086957,
disc3_-0.868_blue,-0.868,1420.22,460,11,2,5,0.5,284.044,3.087434783,
disc4_0.080_blue,0.080,45.62,460,9,2,2.6,0.9,17.54615385,0.09917391304,
disc4_0.086_blue,0.086,36.92,460,8,1,2.6,0.9,14.2,0.08026086957,
disc4_0.090_blue,0.090,31.12,460,8,2,2.6,0.9,11.96923077,0.06765217391,
disc4_0.096_blue,0.096,22.42,460,7,1,2.6,0.9,8.623076923,0.04873913043,
disc4_0.082_blue,0.082,42.72,460,9,2,2.6,0.9,16.43076923,0.09286956522,
disc1_-0.332_green,-0.332,643.02,525,6,1,3.75,0.9,171.472,1.2248,
disc1_-0.484_green,-0.484,863.42,525,7,1,3.75,0.9,230.2453333,1.644609524,
disc1_-0.603_green,-0.603,1035.97,525,7,1,3.75,0.9,276.2586667,1.97327619,
disc1_-0.980_green,-0.98,1582.62,525,8,2,3.75,0.9,422.032,3.014514286,
disc1_-1.221_green,-1.221,1932.07,525,9,2,3.75,0.9,515.2186667,3.680133333,
disc2_-0.331_green,-0.331,641.57,525,8,1,6.25,0.9,102.6512,1.222038095,
disc2_-0.475_green,-0.475,850.37,525,10,1,6.25,0.9,136.0592,1.619752381,
disc2_-0.609_green,-0.609,1044.67,525,10,2,6.25,0.9,167.1472,1.989847619,
disc2_-0.792_green,-0.792,1310.02,525,11,2,6.25,0.9,209.6032,2.49527619,
disc2_-0.920_green,-0.920,1495.62,525,11,2,6.25,0.9,239.2992,2.8488,
disc3_-0.336_green,-0.336,648.82,525,6,1,5,0.5,129.764,1.235847619,
disc3_-0.470_green,-0.470,843.12,525,7,2,5,0.5,168.624,1.605942857,
disc3_-0.564_green,-0.564,979.42,525,8,2,5,0.5,195.884,1.865561905,
disc3_-0.725_green,-0.725,1212.87,525,9,2,5,0.5,242.574,2.310228571,
disc3_-0.912_green,-0.912,1484.02,525,9,3,5,0.5,296.804,2.826704762,
disc4_0.076_green,0.076,51.42,525,7,2,2.6,0.9,19.77692308,0.09794285714,
disc4_0.084_green,0.084,39.82,525,6,2,2.6,0.9,15.31538462,0.07584761905,
disc4_0.093_green,0.093,26.77,525,5,2,2.6,0.9,10.29615385,0.05099047619,
disc4_0.097_green,0.097,20.97,525,5,2,2.6,0.9,8.065384615,0.03994285714,
disc4_0.104_green,0.104,10.82,525,4,1,2.6,0.9,4.161538462,0.02060952381,
disc1_-0.312_red,-0.312,614.02,625,8,1,3.75,0.9,163.7386667,0.982432,
disc1_-0.559_red,-0.559,972.17,625,9,1,3.75,0.9,259.2453333,1.555472,
disc1_-0.772_red,-0.772,1281.02,625,10,1,3.75,0.9,341.6053333,2.049632,
disc1_-0.984_red,-0.984,1588.42,625,11,1,3.75,0.9,423.5786667,2.541472,
disc1_-1.222_red,-1.222,1933.52,625,12,1,3.75,0.9,515.6053333,3.093632,
disc2_-0.336_red,-0.336,648.82,625,9,1,6.25,0.9,103.8112,1.038112,
disc2_-0.456_red,-0.456,822.82,625,9,1,6.25,0.9,131.6512,1.316512,
disc2_-0.592_red,-0.592,1020.02,625,10,1,6.25,0.9,163.2032,1.632032,
disc2_-0.712_red,-0.712,1194.02,625,11,1,6.25,0.9,191.0432,1.910432,
disc2_-0.932_red,-0.932,1513.02,625,11,1,6.25,0.9,242.0832,2.420832,
disc3_-0.320_red,-0.320,625.62,625,6,1,5,0.5,125.124,1.000992,
disc3_-0.434_red,-0.434,790.92,625,7,1,5,0.5,158.184,1.265472,
disc3_-0.543_red,-0.543,948.97,625,8,1,5,0.5,189.794,1.518352,
disc3_-0.632_red,-0.632,1078.02,625,9,1,5,0.5,215.604,1.724832,
disc3_-0.773_red,-0.773,1282.47,625,10,2,5,0.5,256.494,2.051952,
disc4_0.048_red,0.048,92.02,625,9,1,2.6,0.9,35.39230769,0.147232,
disc4_0.059_red,0.059,76.07,625,8,2,2.6,0.9,29.25769231,0.121712,
disc4_0.066_red,0.066,65.92,625,8,1,2.6,0.9,25.35384615,0.105472,
disc4_0.078_red,0.078,48.52,625,7,2,2.6,0.9,18.66153846,0.077632,
disc4_0.082_red,0.082,42.72,625,7,1,2.6,0.9,16.43076923,0.068352
